Timestamp (ms),F_GPS_SPEED
729999,2.1297998  
730019,2.1297998
730126,1.2223201
730219,1.2223201
730319,1.46308
730419,1.46308
730521,1.46308
730621,1.4445599
730721,1.4075199
730821,1.4075199
730921,1.4075199
731022,1.389
731122,1.389
731222,1.4260399
731321,1.4445599
731423,1.4445599
731530,1.4260399
731634,1.4075199
731734,1.389
731834,1.389
731936,1.3519601
732036,1.18528
732143,1.1112001
732242,1.03712
732342,1.00008
732442,1.00008
732542,0.98155993
732642,0.94452
732742,0.926
732842,0.90748
732942,0.90748
733042,0.926
733144,0.926
733244,0.926
733344,0.94452
733444,0.94452
733544,0.94452
733649,0.90748
733749,0.88896
733850,0.85192
733950,0.83339995
734049,0.83339995
734152,0.79636
734253,0.77783996
734353,0.77783996
734453,0.75932
734556,0.75932
734655,0.75932
734755,0.77783996
734855,0.77783996
734955,0.77783996
735057,0.75932
735162,0.75932
735265,0.75932
735366,0.75932
735465,0.77783996
735569,0.77783996
735670,0.75932
735770,0.75932
735869,0.7408
735970,0.70375997
736074,0.66672003
736173,0.62968
736273,0.59264
736373,0.55560005
736473,0.55560005
736577,0.53708
736676,0.53708
736776,0.51856
736876,0.51856
736976,0.50004
737077,0.50004
737178,0.48152
737279,0.48152
737379,0.48152
737478,0.48152
737584,0.48152
737683,0.48152
737783,0.48152
737884,0.50004
737983,0.50004
738085,0.50004
738190,0.50004
738290,0.50004
738392,0.48152
738492,0.48152
738593,0.48152
738693,0.48152
738793,0.48152
738894,0.463
738995,0.463
739098,0.44448
739198,0.44448
739298,0.44448
739398,0.44448
739498,0.44448
739598,0.44448
739701,0.44448
739800,0.463
739900,0.463
740012,0.48152
740112,0.48152
740212,0.51856
740312,0.53708
740412,0.55560005
740512,0.55560005
740613,0.57412
740713,0.57412
740814,0.57412
740916,0.57412
741018,0.59264
741117,0.61116004
741217,0.62968
741333,0.6482
741436,0.6482
741551,0.6482
741654,0.66672003
741753,0.68524003
741854,0.68524003
741957,0.70375997
742058,0.72227997
742162,0.75932
742262,0.77783996
742362,0.77783996
742462,0.77783996
742563,0.77783996
742669,0.79636
742768,0.79636
742869,0.81488
742969,0.85192
743073,0.87044
743173,0.88896
743273,0.88896
743373,0.88896
743473,0.90748
743575,0.90748
743675,0.926
743775,0.926
743875,0.94452
743975,0.96304
744078,0.96304
744178,0.94452
744278,0.94452
744378,0.926
744478,0.926
744584,0.90748
744688,0.90748
744788,0.88896
744888,0.88896
744988,0.87044
745089,0.87044
745193,0.87044
745293,0.85192
745393,0.85192
745493,0.85192
745598,0.85192
745698,0.85192
745798,0.83339995
745898,0.81488
745998,0.79636
746104,0.77783996
746204,0.77783996
746305,0.75932
746405,0.7408
746505,0.7408
746607,0.7408
746707,0.7408
746808,0.7408
746908,0.72227997
747008,0.7408
747109,0.7408
747209,0.7408
747309,0.7408
747410,0.7408
747513,0.7408
747612,0.7408
747714,0.7408
747813,0.72227997
747914,0.72227997
748019,0.72227997
748118,0.7408
748218,0.7408
748318,0.75932
748418,0.75932
748518,0.75932
748631,0.75932
748736,0.75932
748836,0.75932
748937,0.77783996
749036,0.77783996
749139,0.79636
749239,0.79636
749339,0.83339995
749440,0.83339995
749540,0.83339995
749641,0.85192
749741,0.85192
749841,0.85192
749942,0.85192
750042,0.85192
750144,0.85192
750244,0.85192
750345,0.87044
750445,0.87044
750545,0.87044
750646,0.88896
750748,0.88896
750848,0.88896
750948,0.88896
751048,0.87044
751151,0.87044
751251,0.87044
751351,0.87044
751457,0.87044
751558,0.87044
751660,0.87044
751761,0.87044
751861,0.85192
751961,0.85192
752062,0.85192
752163,0.85192
752262,0.83339995
752364,0.83339995
752465,0.83339995
752572,0.83339995
752675,0.83339995
752775,0.83339995
752876,0.83339995
752976,0.83339995
753076,0.83339995
753182,0.83339995
753282,0.85192
753382,0.87044
753482,0.87044
753586,0.90748
753685,0.926
753785,0.94452
753885,0.96304
753985,0.96304
754088,0.98155993
754191,0.98155993
754290,1.00008
754390,1.00008
754491,1.0186
754593,1.03712
754693,1.03712
754794,1.05564
754894,1.07416
754994,1.09268
755098,1.09268
755198,1.1112001
755298,1.12972
755398,1.14824
755498,1.14824
755599,1.16676
755699,1.18528
755800,1.18528
755900,1.2038
756005,1.2223201
756113,1.2223201
756213,1.2223201
756312,1.2408401
756412,1.2408401
756518,1.2408401
756621,1.2408401
756721,1.2408401
756821,1.2408401
756922,1.2408401
757022,1.2408401
757124,1.2408401
757224,1.2223201
757325,1.2223201
757425,1.2223201
757525,1.2408401
757626,1.2408401
757727,1.2408401
757827,1.2223201
757927,1.2223201
758027,1.2223201
758129,1.2223201
758230,1.2223201
758330,1.2223201
758430,1.2408401
758530,1.25936
758631,1.27788
758733,1.27788
758833,1.27788
758933,1.2964
759033,1.2964
759136,1.31492
759236,1.31492
759336,1.2964
759442,1.31492
759543,1.31492
759645,1.31492
759745,1.31492
759848,1.2964
759948,1.25936
760049,1.2408401
760191,1.2038
760297,1.18528
760397,1.16676
760506,1.14824
760610,1.14824
760711,1.12972
760811,1.1112001
760911,1.1112001
761011,1.09268
761117,1.09268
761222,1.07416
761322,1.07416
761422,1.07416
761522,1.07416
761626,1.09268
761725,1.09268
761825,1.1112001
761925,1.1112001
762025,1.1112001
762127,1.12972
762227,1.12972
762328,1.12972
762428,1.12972
762527,1.1112001
762632,1.1112001
762737,1.09268
762837,1.07416
762940,1.07416
763039,1.03712
763141,1.03712
763241,1.00008
763346,0.98155993
763445,0.96304
763545,0.94452
763651,0.926
763751,0.926
763851,0.90748
763952,0.88896
764056,0.87044
764160,0.87044
764260,0.85192
764365,0.83339995
764466,0.81488
764566,0.77783996
764668,0.77783996
764768,0.75932
764868,0.75932
764969,0.75932
765069,0.7408
765171,0.7408
765273,0.72227997
765373,0.72227997
765472,0.70375997
765572,0.68524003
765675,0.66672003
765775,0.6482
765875,0.62968
765978,0.62968
766081,0.61116004
766186,0.59264
766286,0.57412
766386,0.55560005
766486,0.53708
766586,0.51856
766690,0.51856
766789,0.50004
766889,0.48152
766989,0.463
767090,0.42596
767192,0.40744
767295,0.38891998
767397,0.3704
767497,0.35187998
767599,0.33336002
767699,0.33336002
767799,0.31484
767900,0.31484
768000,0.35187998
768107,0.38891998
768211,0.38891998
768311,0.42596
768411,0.44448
768511,0.44448
768611,0.48152
768715,0.51856
768815,0.53708
768915,0.55560005
769015,0.57412
769123,0.61116004
769223,0.6482
769326,0.66672003
769430,0.70375997
769536,0.72227997
769636,0.7408
769736,0.75932
769840,0.79636
769971,0.79636
770071,0.85192
770172,0.85192
770272,0.87044
770372,0.90748
770472,0.926
770572,0.96304
770677,1.00008
770777,1.0186
770877,1.05564
770977,1.07416
771077,1.1112001
771183,1.14824
771284,1.18528
771384,1.2223201
771484,1.2408401
771584,1.27788
771686,1.2964
771787,1.31492
771887,1.3334401
771987,1.3519601
772091,1.3704801
772193,1.3704801
772293,1.389
772393,1.4075199
772493,1.4075199
772593,1.4260399
772697,1.4075199
772796,1.4075199
772896,1.4075199
772996,1.4075199
773096,1.4075199
773200,1.4075199
773300,1.4075199
773400,1.4075199
773500,1.4260399
773600,1.4445599
773705,1.4445599
773805,1.46308
773905,1.4816
774005,1.50012
774104,1.51864
774208,1.51864
774308,1.5371599
774408,1.5371599
774509,1.5556799
774609,1.5742
774710,1.5742
774810,1.59272
774910,1.59272
775011,1.61124
775110,1.64828
775211,1.64828
775311,1.6667999
775415,1.68532
775516,1.70384
775616,1.70384
775718,1.72236
775818,1.74088
775918,1.7594
776018,1.77792
776118,1.77792
776220,1.79644
776322,1.79644
776422,1.81496
776521,1.81496
776622,1.83348
776724,1.83348
776824,1.83348
776924,1.852
777027,1.852
777128,1.852
777229,1.83348
777329,1.81496
777429,1.81496
777533,1.81496
777635,1.81496
777742,1.79644
777841,1.79644
777941,1.77792
778041,1.77792
778146,1.77792
778245,1.77792
778347,1.79644
778447,1.79644
778548,1.81496
778649,1.83348
778756,1.852
778855,1.87052
778955,1.88904
779055,1.92608
779160,1.9445999
779259,1.9631199
779360,1.9816401
779460,1.9816401
779560,1.9816401
779663,1.9816401
779763,1.9816401
779864,2.00016
779963,2.01868
780064,2.01868
780173,2.01868
780277,2.0372
780377,2.0372
780477,2.05572
780577,2.05572
780683,2.05572
780783,2.07424
780883,2.07424
780983,2.09276
781083,2.11128
781187,2.1297998
781287,2.1297998
781387,2.14832
781501,2.1668398
781625,2.1668398
781703,2.1668398
781803,2.18536
781903,2.20388
782003,2.2224002
782104,2.24092
782203,2.24092
782307,2.25944
782407,2.25944
782507,2.27796
782607,2.29648
782711,2.29648
782810,2.29648
782910,2.315
783010,2.315
783110,2.315
783211,2.315
783311,2.33352
783411,2.33352
783512,2.35204
783618,2.35204
783720,2.37056
783820,2.37056
783921,2.37056
784021,2.37056
784121,2.37056
784222,2.37056
784322,2.35204
784422,2.35204
784523,2.35204
784624,2.35204
784725,2.35204
784825,2.35204
784925,2.33352
785026,2.33352
785126,2.33352
785228,2.33352
785328,2.315
785429,2.315
785529,2.315
785629,2.315
785731,2.29648
785831,2.27796
785932,2.29648
786032,2.29648
786132,2.29648
786235,2.27796
786335,2.25944
786435,2.25944
786535,2.24092
786635,2.24092
786740,2.20388
786839,2.18536
786939,2.14832
787039,2.1297998
787152,2.1297998
787256,2.09276
787356,2.09276
787457,2.07424
787557,2.07424
787658,2.05572
787760,2.0372
787860,2.0372
787961,2.0372
788061,2.05572
788173,2.05572
788275,2.05572
788375,2.05572
788475,2.05572
788575,2.05572
788674,2.05572
788775,2.05572
788875,2.0372
788975,2.01868
789076,2.01868
789176,2.01868
789278,2.0372
789378,2.0372
789478,2.0372
789578,2.01868
789678,2.00016
789778,2.00016
789878,1.9816401
789978,1.9631199
790078,1.9631199
790180,1.9631199
790280,1.9445999
790380,1.9631199
790480,1.9631199
790580,1.9631199
790681,1.9631199
790782,1.9631199
790887,1.9816401
790989,1.9816401
791092,1.9816401
791193,1.9816401
791297,1.9631199
791398,1.9631199
791503,1.9631199
791606,1.9631199
791707,1.9631199
791807,1.9631199
791908,1.9445999
792008,1.9445999
792109,1.92608
792210,1.92608
792316,1.90756
792415,1.90756
792515,1.90756
792615,1.88904
792716,1.88904
792822,1.87052
792922,1.852
793023,1.83348
793123,1.79644
793225,1.77792
793325,1.74088
793425,1.72236
793525,1.70384
793625,1.68532
793728,1.6667999
793829,1.62976
793930,1.61124
794029,1.59272
794130,1.59272
794237,1.5742
794341,1.5742
794441,1.5742
794542,1.5742
794642,1.5742
794745,1.5742
794845,1.5742
794945,1.5742
795045,1.5742
795146,1.5742
795249,1.5556799
795349,1.5556799
795448,1.5556799
795548,1.5556799
795654,1.5371599
795754,1.51864
795854,1.51864
795954,1.50012
796059,1.50012
796197,1.50012
796300,1.4816
796399,1.4816
796499,1.4816
796600,1.4816
796699,1.50012
796801,1.50012
796902,1.50012
797002,1.51864
797102,1.50012
797202,1.50012
797304,1.50012
797405,1.50012
797505,1.50012
797605,1.50012
797705,1.51864
797806,1.51864
797907,1.51864
798006,1.51864
798107,1.5371599
798207,1.5556799
798310,1.5556799
798410,1.5556799
798510,1.5742
798611,1.5742
798711,1.59272
798813,1.59272
798913,1.61124
799014,1.61124
799114,1.62976
799214,1.64828
799316,1.6667999
799416,1.68532
799516,1.70384
799621,1.72236
799723,1.74088
799826,1.7594
799927,1.77792
800027,1.77792
800127,1.79644
800227,1.81496
800330,1.81496
800430,1.83348
800531,1.83348
800631,1.852
800732,1.87052
800832,1.87052
800933,1.88904
801034,1.90756
801134,1.90756
801239,1.90756
801341,1.90756
801442,1.92608
801541,1.92608
801641,1.92608
801743,1.9631199
801843,2.00016
801942,2.0372
802046,2.07424
802147,2.11128
802248,2.14832
802354,2.18536
802456,2.2224002
802555,2.25944
802655,2.29648
