Timestamp (ms),F_RPM_PRIM
35383,0.52991
7,2330.93
37,625.00006
41,4304.4077
48,3495.526
76,645.48334
144,279.467
144,89285.72
217,258.2502
239,867.57355
248,1947.4451
254,3232.7588
283,651.31305
289,3374.73
315,721.8201
321,3527.0881
391,268.0256
460,269.10272
530,269.81525
542,2496.6711
599,331.43604
652,359.00284
790,135.48471
899,173.34148
947,383.84375
1021,254.24419
1065,423.5565
1081,1256.7024
1091,1730.3434
1098,4026.0735
1099,38265.31
1139,468.84375
1140,32779.72
1147,4002.1345
1148,28846.154
1149,41360.293
1149,39612.676
1150,37500.0
1152,86206.9
1152,119912.8
1153,43269.23
1154,87209.305
1154,130813.95
1156,28625.955
1156,74503.31
1158,25961.54
1164,4774.0293
1172,3198.099
1184,1587.9065
1188,5455.8677
1213,1517.2358
1240,729.68555
1260,918.93744
1264,4555.393
1287,831.7069
1394,174.4251
1430,528.58594
1435,3492.9211
1497,306.0525
1520,790.33887
1569,389.74808
1674,178.08298
1702,1316.1589
1703,106534.086
1703,89285.72
1704,58593.746
1705,121323.52
1705,80030.49
1707,60334.16
1708,66964.29
1709,22977.941
1718,2729.8254
1726,4500.0005
1733,4635.9893
1779,571.3477
1907,204.40105
1908,69444.445
1913,3474.7961
1949,529.661
1968,1606.3397
1969,55147.06
1969,93750.0
1971,32204.201
1971,82031.25
1972,27709.36
1973,47212.234
1973,99264.7
1974,46641.79
1975,60267.855
1976,24038.46
1976,88235.29
1977,25436.049
1978,67446.05
1979,74573.86
1980,46182.266
1980,73660.71
1983,7048.872
2006,1176.0752
2007,47212.234
2013,5751.5337
2014,40760.87
2014,57870.375
2015,41564.04
2016,47554.348
2105,209.60962
2124,1783.4497
2125,99264.7
2125,78125.0
2126,60701.44
2126,111607.15
2127,105468.75
2128,55970.15
2128,92592.59
2129,55147.06
2129,47212.234
2130,99264.7
2130,118534.484
2131,47554.348
2132,114329.27
2132,90361.445
2134,40178.57
2134,109011.63
2135,114583.33
2136,47110.555
2136,82031.25
2137,87209.305
2138,72115.38
2138,119912.8
2139,104166.67
2139,48253.67
2140,148628.05
2140,99264.7
2141,60334.16
2142,124246.984
2142,53879.31
2143,46214.79
2144,109011.63
2144,110294.12
2145,58189.656
2145,147471.9
2146,104166.67
2146,48973.88
2147,90361.445
2147,107758.62
2148,52325.582
2149,111607.15
2149,66964.29
2150,57010.133
2151,100446.43
2151,73529.414
2152,43269.23
2153,100190.84
2154,57203.387
2174,939.0024
2259,220.16344
2362,183.11977
2384,831.7069
2398,1475.9131
2433,540.59515
2606,108.474304
2606,41058.395
2607,27985.074
2608,92592.59
2608,71202.53
2609,29761.904
2610,101656.625
2611,32649.254
2611,47212.234
2613,41666.668
2613,88235.29
2614,41360.293
2615,68933.82
2615,93750.0
2616,48076.92
2617,71614.58
2618,45509.71
2618,79066.266
2623,4300.4585
2623,81018.52
2630,5157.396
2630,95108.695
2631,61141.3
2632,66021.125
2632,33723.023
2639,2675.514
2725,219.66821
2830,179.9286
2849,976.96954
2883,559.8352
2925,442.67636
2926,93129.14
2926,66964.29
2927,23674.244
2928,91463.414
2928,60267.855
2931,12593.284
2932,21469.467
2933,98110.47
2933,59335.445
2934,36231.883
2938,10245.901
2939,38265.305
2939,47212.234
2940,70312.5
2941,32012.195
2941,87209.305
2942,99264.7
2944,21306.818
2945,32977.387
2946,78509.85
2947,28625.955
2947,69444.445
2948,58593.75
2949,37500.0
2949,69444.445
2950,41977.613
2951,98110.47
2951,121323.52
3049,190.80473
3089,471.86432
3121,607.26776
3324,91.881134
3345,932.2792
3397,862.66394
3399,8340.748
3431,718.2991
3432,48253.67
3437,3852.7395
3438,102896.34
3438,121323.52
3439,69273.4
3440,78671.33
3441,46410.895
3442,100446.43
3442,37128.715
3443,54347.824
3444,42399.5
3445,90361.445
3446,23219.814
3447,110294.12
3447,45072.117
3448,33244.684
3451,10811.367
3451,47901.46
3452,22865.854
3453,98110.47
3485,1076.8986
3485,98110.47
3486,84134.62
3487,49904.94
3487,70312.5
3488,38793.105
3489,32552.082
3491,13719.511
3492,66489.37
3493,23674.244
3493,109011.63
3499,4273.017
3561,298.79526
3665,179.88028
3770,179.12416
3950,104.65038
4215,155.5688
4215,93750.0
4216,86206.9
4216,74190.66
4217,133928.58
4217,57870.375
4218,66964.28
4219,68597.56
4238,974.73486
4346,277.76752
4506,117.797104
4508,12335.527
4515,4815.925
4523,3752.144
4530,2581.2224
4573,791.8817
4587,2193.624
4588,37500.0
4588,54347.824
4589,94936.71
4599,1768.2007
4642,437.9613
4724,413.7855
4725,98110.47
4725,125762.195
4726,36945.812
4726,121323.52
4727,53879.31
4728,67934.78
4728,143382.34
4729,69444.445
4729,47212.234
4730,91463.414
4730,115870.79
4731,52347.715
4732,101656.625
4733,41564.04
4733,91463.414
4734,79066.266
4736,50800.492
4736,105468.75
4737,79066.266
4738,40178.57
4739,14694.356
5188,41.710415
5256,389.09637
5257,110294.12
5257,71202.53
5264,3320.5432
5264,112951.805
5265,40760.87
5272,3316.6274
5272,111607.15
5273,40467.63
5280,4280.8223
5280,99264.7
5281,69444.445
5282,17307.691
5283,110294.12
5284,37688.44
5284,119912.8
5285,39893.617
5288,13909.495
5288,124246.984
5289,45572.914
5297,2861.7217
5297,141715.12
5298,33244.684
5305,3732.9353
5305,111607.15
5306,33967.39
5313,3330.3728
5313,101656.625
5321,2998.401
5321,110294.12
5322,27439.023
5329,5553.9097
5329,111607.15
5330,23091.133
5338,2884.6155
5338,111607.15
5346,5321.2075
5347,100446.43
5354,4857.513
5355,111607.15
5356,53191.492
5362,3869.3987
5363,100446.43
5371,4362.7197
5371,92592.59
5380,4701.605
5381,110294.12
5381,71202.53
5388,3611.7227
5389,96982.76
5389,84134.62
5390,17823.193
5391,107758.62
5391,133928.58
5392,32327.584
5393,123626.375
5393,72115.38
5395,21387.832
5395,104166.67
5396,114583.33
5397,28409.092
5397,129310.34
5398,70312.5
5399,24486.94
5399,105468.75
5400,100446.43
5401,27709.36
5401,40467.63
5402,90361.445
5403,23091.133
5403,104166.67
5404,80030.49
5406,12500.0
5406,149601.06
5407,36057.69
5408,104166.67
5408,38006.754
5409,59419.016
5410,68597.56
5410,130813.95
5411,41564.04
5412,118534.484
5412,143382.34
5413,29296.875
5414,90361.445
5414,129654.25
5415,23320.895
5416,95880.68
5416,99264.7
5419,41821.56
5419,57164.637
5420,122767.86
5421,32327.584
5421,109011.63
5422,100446.43
5423,28846.154
5423,101656.625
5424,114329.27
5425,17959.77
5425,115870.79
5426,68597.56
5427,42775.664
5428,90361.445
5428,118534.484
5429,47110.555
5430,79066.266
5430,67771.086
5431,44291.336
5432,122767.86
5432,132352.94
5433,32451.922
5434,109011.63
5434,127314.82
5436,46340.305
5436,124246.984
5437,84269.664
5438,60334.16
5438,115740.75
5439,113324.18
5440,28409.092
5440,117187.5
5441,104166.67
5442,41977.613
5442,99264.7
5443,135542.17
5444,23674.244
5444,111607.15
5445,115740.75
5446,31719.926
5447,136938.2
5447,133928.58
5448,24038.46
5449,136938.2
5449,111607.15
5450,32703.492
5451,115740.75
5451,124999.99
5452,23320.895
5453,82031.25
5453,95880.68
5455,12175.325
5455,135542.17
5457,25143.678
5457,130813.95
5458,163517.45
5459,31839.621
5459,111607.15
5460,62499.996
5462,37128.715
5462,102896.34
5463,95880.68
5464,32487.625
5465,140086.2
5465,82031.25
5467,34615.383
5467,92592.59
5468,24578.652
5469,143382.34
5469,112951.805
5470,34981.344
5471,123626.375
5471,137195.12
5473,31366.168
5473,110294.12
5474,141715.12
5475,36909.445
5475,104166.67
5476,101656.625
5477,23437.5
5477,92592.59
5478,92719.78
5479,36945.812
5479,122767.86
5480,106534.086
5480,115870.79
5481,40178.57
5482,152616.28
5482,121323.52
5483,29182.879
5484,115870.79
5484,123626.375
5486,52866.543
5486,132352.94
5487,114329.27
5488,32126.17
5489,105468.75
5490,31719.926
5490,132352.94
5491,114329.27
5492,21718.148
5493,106534.086
5493,119912.8
5494,46340.305
5495,152616.28
5495,125762.195
5496,36764.707
5497,141715.12
5497,109011.63
5498,35377.36
5499,150862.06
5499,143382.34
5501,18168.607
5501,112092.39
5502,122282.6
5504,44479.93
5505,124246.984
5505,110294.12
5506,39511.496
5507,99264.7
5507,130813.95
5508,28195.488
5509,107758.62
5509,143382.34
5511,18239.299
5511,115740.75
5512,106534.086
5519,2498.6672
5520,105468.75
5520,152616.28
5521,31366.168
5522,110294.12
5522,145089.28
5523,66964.29
5524,51821.61
5524,135542.17
5525,133928.58
5526,37313.434
5526,135542.17
5527,114329.27
5528,42293.234
5529,110294.12
5529,146837.34
5530,54505.816
5531,36585.367
5531,137195.12
5532,138494.31
5533,28089.889
5533,107758.62
5534,135416.66
5535,46875.0
5535,118534.484
5536,119912.8
5537,31633.434
5538,122767.86
5538,122767.86
5539,46875.0
5540,135542.17
5540,101656.625
5541,45646.07
5542,107758.62
5543,135416.66
5544,23555.277
5544,93750.0
5545,119912.8
5545,88235.29
5547,38860.1
5548,126953.125
5548,129310.34
5549,28266.332
5550,118534.484
5550,141715.12
5551,35112.36
5552,89285.72
5552,89285.72
5554,24395.908
5554,132352.94
5555,143382.34
5556,42293.234
5556,93750.0
5557,109011.63
5558,37913.6
5559,143382.34
5559,127840.91
5561,37044.07
5561,119912.8
5562,93750.0
5563,28735.633
5563,129310.34
5564,92592.59
5565,32703.492
5566,121323.52
5566,129310.34
5567,45475.746
5568,109011.63
5568,93750.0
5569,36407.77
5570,111607.15
5570,102896.34
5571,78125.0
5572,36585.367
5572,78125.0
5573,109011.63
5574,42452.83
5574,133928.58
5575,111607.15
5576,39511.496
5577,99264.7
5577,135542.17
5578,28089.889
5579,111607.15
5579,90361.445
5581,28495.44
5581,109011.63
5582,115870.79
5583,23555.277
5583,124246.984
5584,135542.17
5585,31839.621
5586,106803.805
5586,110294.12
5587,58593.75
5588,27846.535
5588,101656.625
5590,161637.92
5591,42293.234
5591,112951.805
5592,101656.625
5592,63202.246
5593,47831.637
5594,98110.47
5594,119912.8
5596,23076.924
5596,127840.91
5597,77205.88
5598,43103.45
5599,98110.47
5599,122282.6
5600,37688.44
5600,130813.95
5601,114583.33
5602,56475.902
5602,75273.73
5603,132352.94
5603,91463.414
5604,54505.816
5605,35112.36
5605,110294.12
5606,96982.76
5607,46875.0
5607,141715.12
5608,114329.27
5609,39414.414
5610,99264.7
5610,100446.43
5611,28553.299
5612,93750.0
5612,106534.086
5613,78125.0
5614,42775.664
5615,102896.34
5615,109011.63
5617,23510.97
5617,104166.664
5618,77205.88
5619,43436.297
5619,143382.34
5620,99264.7
5622,21210.408
5622,125762.195
5623,50095.42
5624,117187.5
5624,90361.445
5626,20192.309
5626,100446.43
5627,121323.52
5628,32327.586
5628,98110.47
5629,119912.8
5630,35919.54
5632,93750.0
5632,99264.7
5633,89285.72
5634,42399.5
5634,90361.445
5635,135542.17
5636,39062.5
5636,117187.5
5637,76308.14
5637,90361.445
5638,37500.0
5639,111607.15
5639,132352.94
5640,57164.637
5641,53157.22
5641,125762.195
5642,122767.86
5642,55803.574
5643,39893.617
5643,100446.43
5644,124246.984
5644,102896.34
5645,36407.77
5646,118534.484
5646,119912.8
5649,21887.158
5649,55147.06
5651,12335.525
5651,111607.15
5662,2760.3975
5663,99264.7
5663,141715.12
5664,55803.574
5665,39211.027
5665,100446.43
5666,130813.95
5667,17622.18
5667,92592.59
5668,114583.33
5668,130813.95
5669,111607.15
5670,106534.086
5670,136938.2
5671,133928.58
5672,17755.682
5672,102896.34
5673,119912.8
5673,85227.266
5675,40467.63
5676,149147.72
5676,133928.58
5677,111607.15
5678,27709.36
5678,102896.34
5679,127840.91
5679,65406.977
5680,23205.447
5681,88235.29
5681,100446.43
5683,25645.896
5683,112951.805
5684,124999.99
5686,23706.896
5686,92592.59
5687,35646.387
5688,109011.63
5688,129310.34
5689,55147.06
5689,40467.63
5690,86206.9
5691,109011.63
5691,102896.34
5692,27985.074
5693,111607.15
5693,81018.52
5693,124246.984
5695,39062.5
5695,105468.75
5696,100446.43
5696,80030.49
5697,32552.082
5697,119912.8
5698,81018.52
5698,89285.72
5700,23291.926
5700,98110.47
5701,127314.82
5702,42452.83
5703,112951.805
5703,89285.72
5704,83333.33
5705,55970.15
5705,107758.62
5706,121323.52
5707,38336.43
5707,135542.17
5708,105468.75
5708,92719.78
5710,17959.77
5710,122767.86
5711,112951.805
5712,17425.648
5712,106534.086
5713,141715.12
5713,100446.43
5714,41058.395
5715,112951.805
5715,110294.12
5716,104166.664
5718,35112.36
5718,90361.445
5719,109011.63
5719,73735.95
5720,36945.812
5721,143382.34
5721,109011.63
5722,113324.18
