Timestamp (ms), GPS LATITUDE, GPS LONGITUDE, GPS SPEED
117650,43.261208,-79.930984,0.463
117841,43.26119,-79.93098,0.07408
117858,43.26119,-79.93098,0.07408
117958,43.26118,-79.93098,0.05556
118058,43.26118,-79.93098,0.11112
118158,43.261173,-79.93096,0.14816
118258,43.261173,-79.93096,0.22224
118363,43.261173,-79.93096,0.35187998
118463,43.261166,-79.93096,0.51856
118563,43.261166,-79.93096,0.70375997
118663,43.261166,-79.93096,0.77783996
118763,43.261158,-79.93096,0.75932
118863,43.261158,-79.930954,0.75932
118963,43.261158,-79.930954,0.79636
119064,43.26115,-79.930954,0.87044
119164,43.26115,-79.930954,0.88896
119264,43.26115,-79.930954,0.88896
119364,43.261143,-79.930954,0.926
119464,43.261143,-79.93095,0.96304
119564,43.261143,-79.93095,1.0186
119664,43.26113,-79.93095,1.09268
119764,43.26113,-79.93095,1.09268
119864,43.26113,-79.93095,1.05564
119964,43.261124,-79.93095,1.03712
120064,43.261124,-79.93095,1.0186
120164,43.261124,-79.93095,1.05564
120264,43.261124,-79.93095,1.09268
120364,43.261124,-79.93094,1.09268
120465,43.261116,-79.93094,1.1112001
120565,43.261116,-79.93094,1.12972
120665,43.261116,-79.93094,1.12972
120765,43.261116,-79.93094,1.1112001
120865,43.261116,-79.93094,1.16676
120965,43.26111,-79.93094,1.1112001
121065,43.26111,-79.93094,1.05564
121165,43.26111,-79.93094,1.05564
121265,43.26111,-79.93094,1.05564
121365,43.26111,-79.93093,1.05564
121465,43.26111,-79.93093,1.05564
121565,43.26111,-79.93093,1.00008
121665,43.26111,-79.93093,0.98155993
121765,43.26111,-79.93093,0.98155993
121865,43.26111,-79.93093,0.96304
121965,43.26111,-79.93093,0.96304
122065,43.26111,-79.93093,0.98155993
122165,43.26111,-79.93093,0.98155993
122265,43.26111,-79.93093,0.96304
122365,43.2611,-79.93093,1.0186
122465,43.2611,-79.93092,1.05564
122565,43.2611,-79.93092,1.14824
122665,43.2611,-79.93092,1.16676
122765,43.2611,-79.93092,1.18528
122865,43.2611,-79.93092,1.2038
122965,43.2611,-79.93092,1.18528
123065,43.2611,-79.93092,1.14824
123165,43.2611,-79.93092,1.14824
123265,43.2611,-79.930916,1.14824
123365,43.2611,-79.930916,1.14824
123465,43.2611,-79.930916,1.12972
123565,43.2611,-79.930916,1.14824
123665,43.2611,-79.930916,1.16676
123765,43.2611,-79.930916,1.14824
123865,43.2611,-79.930916,1.12972
123965,43.2611,-79.930916,1.1112001
124065,43.261093,-79.930916,1.09268
124165,43.261093,-79.930916,1.07416
124265,43.261093,-79.930916,1.03712
124365,43.261093,-79.930916,0.98155993
124465,43.261093,-79.930916,0.926
124565,43.261093,-79.930916,0.85192
124665,43.261093,-79.930916,0.77783996
124765,43.261093,-79.930916,0.72227997
124865,43.261093,-79.930916,0.68524003
124971,43.261093,-79.930916,0.68524003
125071,43.261093,-79.930916,0.66672003
125172,43.261093,-79.930916,0.68524003
125272,43.261093,-79.930916,0.70375997
125372,43.261093,-79.93091,0.7408
125472,43.261093,-79.93091,0.75932
125572,43.261093,-79.93091,0.77783996
125672,43.261093,-79.93091,0.77783996
125772,43.261093,-79.93091,0.75932
125872,43.261086,-79.93091,0.75932
125972,43.261086,-79.93091,0.7408
126072,43.261086,-79.93091,0.72227997
126172,43.261086,-79.93091,0.7408
126272,43.261086,-79.93091,0.70375997
126372,43.261086,-79.93091,0.6482
126472,43.261093,-79.93091,0.61116004
126572,43.261093,-79.93091,0.55560005
126672,43.261093,-79.93091,0.51856
126772,43.261093,-79.93091,0.48152
126872,43.261093,-79.93091,0.48152
126972,43.261093,-79.93091,0.463
126972,43.261093,-79.93091,0.463
127072,43.261093,-79.93091,0.463
127072,43.261093,-79.93091,0.463
127172,43.261093,-79.93091,0.44448
127172,43.261093,-79.93091,0.44448
127272,43.261093,-79.93091,0.40744
127372,43.261093,-79.93091,0.3704
127372,43.261093,-79.93091,0.3704
127472,43.261093,-79.93091,0.35187998
127572,43.261093,-79.93091,0.29632
127572,43.261093,-79.93091,0.29632
127672,43.261093,-79.93091,0.27780002
127672,43.261093,-79.93091,0.27780002
127772,43.261093,-79.93091,0.25928
127772,43.261093,-79.93091,0.25928
127872,43.261093,-79.93091,0.22224
127872,43.261093,-79.93091,0.22224
127972,43.261093,-79.93091,0.20372
127972,43.261093,-79.93091,0.20372
128072,43.261093,-79.93091,0.1852
128072,43.261093,-79.93091,0.1852
128172,43.261093,-79.93091,0.16668001
128172,43.261093,-79.93091,0.16668001
128272,43.261093,-79.93091,0.14816
128372,43.261093,-79.93091,0.12964
128372,43.261093,-79.93091,0.12964
128480,43.261093,-79.93091,0.12964
128580,43.261093,-79.93091,0.11112
128680,43.261093,-79.93091,0.12964
128780,43.261093,-79.93091,0.14816
128880,43.261093,-79.93091,0.14816
128980,43.2611,-79.93091,0.14816
129080,43.2611,-79.93091,0.14816
129180,43.2611,-79.93091,0.14816
129280,43.2611,-79.93091,0.14816
129380,43.2611,-79.93091,0.16668001
129480,43.261093,-79.93091,0.1852
129580,43.261093,-79.93091,0.20372
129680,43.261093,-79.93091,0.22224
129780,43.261093,-79.93091,0.27780002
129880,43.261093,-79.93091,0.31484
129980,43.261093,-79.93091,0.33336002
130080,43.261093,-79.93091,0.33336002
130180,43.261093,-79.93091,0.33336002
130280,43.261093,-79.93091,0.31484
130380,43.261093,-79.93091,0.27780002
130480,43.261093,-79.93091,0.27780002
130580,43.261093,-79.93091,0.16668001
130680,43.2611,-79.93091,0.07408
130780,43.2611,-79.93091,0.14816
130880,43.2611,-79.9309,0.24076
130990,43.2611,-79.9309,0.48152
131090,43.2611,-79.9309,0.77783996
131190,43.2611,-79.93089,0.81488
131290,43.2611,-79.93089,0.87044
131390,43.2611,-79.93089,1.03712
131490,43.2611,-79.93089,1.2408401
131590,43.2611,-79.930885,1.61124
131690,43.2611,-79.930885,1.61124
131790,43.26111,-79.93089,1.25936
131890,43.261116,-79.93091,2.8891199
131990,43.261124,-79.930916,8.00064
132090,43.261124,-79.93092,11.07496
132190,43.261124,-79.93092,11.14904
132290,43.261124,-79.93092,11.18608
132390,43.26113,-79.93092,10.4638
132490,43.26113,-79.93092,8.57476
132590,43.261124,-79.93092,7.27836
132690,43.26113,-79.93093,7.18576
132790,43.261124,-79.93092,4.51888
132890,43.261124,-79.93093,2.92616
132990,43.261124,-79.93093,3.31508
133090,43.261124,-79.93093,4.18552
133190,43.261124,-79.93093,4.18552
133290,43.261124,-79.93093,4.3336797
133390,43.261124,-79.93094,5.31524
133490,43.261124,-79.93094,5.3337603
133590,43.261116,-79.93094,5.2041197
133690,43.261116,-79.93094,4.98188
133790,43.261124,-79.93094,3.35212
133890,43.261116,-79.93094,2.6854
133990,43.261124,-79.93094,3.1298802
134095,43.261124,-79.93094,3.85216
134195,43.261124,-79.93094,3.9077199
134295,43.261124,-79.93094,4.05588
134395,43.261124,-79.93094,4.38924
134495,43.261124,-79.93095,5.0004
134595,43.261124,-79.93095,5.01892
134695,43.261124,-79.930954,5.87084
134795,43.261124,-79.930954,4.8522396
134895,43.261124,-79.930954,4.05588
134895,43.261124,-79.930954,4.05588
134995,43.261116,-79.930954,4.42628
135095,43.261124,-79.930954,4.8707604
135195,43.261116,-79.930954,4.63
135295,43.261116,-79.930954,3.9077199
135395,43.261124,-79.930954,3.29656
