Timestamp (ms),F_GPS_LONGITUDE
729999,-79.920685
730019,-79.920685
730126,-79.920685
730219,-79.920685
730319,-79.92068
730419,-79.92068
730521,-79.92068
730621,-79.92068
730721,-79.92068
730821,-79.92068
730921,-79.92068
731022,-79.92068
731122,-79.92068
731222,-79.92068
731321,-79.92068
731423,-79.92068
731530,-79.92068
731634,-79.92068
731734,-79.92068
731834,-79.92068
731936,-79.92068
732036,-79.92068
732143,-79.92068
732242,-79.92068
732342,-79.92068
732442,-79.92068
732542,-79.92068
732642,-79.92068
732742,-79.92068
732842,-79.92068
732942,-79.92068
733042,-79.92068
733144,-79.92068
733244,-79.92068
733344,-79.92068
733444,-79.92068
733544,-79.92068
733649,-79.92068
733749,-79.92068
733850,-79.92068
733950,-79.92068
734049,-79.92068
734152,-79.92068
734253,-79.92068
734353,-79.92068
734453,-79.92068
734556,-79.92068
734655,-79.92068
734755,-79.92068
734855,-79.92068
734955,-79.92068
735057,-79.92068
735162,-79.92068
735265,-79.92068
735366,-79.92068
735465,-79.92068
735569,-79.92068
735670,-79.92068
735770,-79.92068
735869,-79.92068
735970,-79.92068
736074,-79.92068
736173,-79.92068
736273,-79.920685
736373,-79.920685
736473,-79.920685
736577,-79.920685
736676,-79.920685
736776,-79.920685
736876,-79.920685
736976,-79.920685
737077,-79.920685
737178,-79.920685
737279,-79.920685
737379,-79.920685
737478,-79.920685
737584,-79.920685
737683,-79.920685
737783,-79.920685
737884,-79.920685
737983,-79.920685
738085,-79.920685
738190,-79.920685
738290,-79.920685
738392,-79.920685
738492,-79.920685
738593,-79.920685
738693,-79.920685
738793,-79.920685
738894,-79.920685
738995,-79.920685
739098,-79.920685
739198,-79.920685
739298,-79.920685
739398,-79.920685
739498,-79.920685
739598,-79.920685
739701,-79.920685
739800,-79.920685
739900,-79.920685
740012,-79.920685
740112,-79.920685
740212,-79.920685
740312,-79.920685
740412,-79.920685
740512,-79.920685
740613,-79.920685
740713,-79.920685
740814,-79.920685
740916,-79.920685
741018,-79.920685
741117,-79.920685
741217,-79.920685
741333,-79.920685
741436,-79.920685
741551,-79.920685
741654,-79.920685
741753,-79.920685
741854,-79.920685
741957,-79.920685
742058,-79.920685
742162,-79.920685
742262,-79.920685
742362,-79.920685
742462,-79.920685
742563,-79.920685
742669,-79.920685
742768,-79.920685
742869,-79.920685
742969,-79.920685
743073,-79.920685
743173,-79.920685
743273,-79.920685
743373,-79.920685
743473,-79.920685
743575,-79.920685
743675,-79.920685
743775,-79.920685
743875,-79.920685
743975,-79.920685
744078,-79.920685
744178,-79.920685
744278,-79.920685
744378,-79.920685
