Timestamp (ms),F_RPM_PRIM
151588,0.0
151640,0.0
151652,0.0
151662,0.0
151672,0.0
151683,0.0
151693,0.0
151703,0.0
151713,0.0
151723,0.0
151733,0.0
151744,0.0
151754,0.0
151764,0.0
151774,0.0
151784,0.0
151794,0.0
151804,0.0
151814,0.0
151827,0.0
151837,0.0
151847,0.0
151857,0.0
151867,0.0
151880,0.0
151896,0.0
151908,0.0
151918,0.0
151928,0.0
151939,0.0
151950,0.0
151961,0.0
151971,0.0
151981,0.0
151994,0.0
152004,0.0
152014,0.0
152024,0.0
152034,0.0
152044,0.0
152056,0.0
152066,0.0
152079,0.0
152089,0.0
152099,0.0
152109,0.0
152119,0.0
152131,0.0
152141,0.0
152151,0.0
152161,0.0
152171,0.0
152183,0.0
152193,0.0
152203,0.0
152213,0.0
152223,0.0
152235,0.0
152245,0.0
152255,0.0
152266,0.0
152276,0.0
152289,0.0
152299,0.0
152309,0.0
152319,0.0
152329,0.0
152342,0.0
152352,0.0
152362,0.0
152373,0.0
152383,0.0
152393,0.0
152405,0.0
152421,0.0
152436,0.0
152446,0.0
152465,0.0
152475,0.0
152485,0.0
152497,0.0
152507,0.0
152517,0.0
152528,0.0
152538,0.0
152551,0.0
152561,0.0
152571,0.0
152581,0.0
152591,0.0
152603,0.0
152613,0.0
152623,0.0
152634,0.0
152644,0.0
152654,0.0
152664,0.0
152681,0.0
152693,0.0
152703,0.0
152717,0.0
152727,0.0
152737,0.0
152748,0.0
152758,0.0
152768,0.0
152778,0.0
152788,0.0
152798,0.0
152808,0.0
152818,0.0
152828,0.0
152838,0.0
152848,0.0
152858,0.0
152868,0.0
152878,0.0
152888,0.0
152899,0.0
152909,0.0
152919,0.0
152929,0.0
152939,0.0
152949,0.0
152959,0.0
152974,0.0
152988,0.0
152998,0.0
153011,0.0
153021,0.0
153031,0.0
153041,0.0
153051,0.0
153063,0.0
153073,0.0
153083,0.0
153095,0.0
153105,0.0
153115,0.0
153125,0.0
153135,0.0
153145,0.0
153155,0.0
153167,0.0
153177,0.0
153187,0.0
153197,0.0
153207,0.0
153220,0.0
153230,0.0
153240,0.0
153250,0.0
153260,0.0
153271,0.0
153281,0.0
153291,0.0
153304,0.0
153314,0.0
153328,0.0
153338,0.0
153348,0.0
153360,0.0
153376,0.0
153390,0.0
153400,0.0
153410,0.0
153420,0.0
153430,0.0
153440,0.0
153451,0.0
153461,0.0
153471,0.0
153481,0.0
153491,0.0
153504,0.0
153514,0.0
153524,0.0
153534,0.0
153544,0.0
153557,0.0
153567,0.0
153577,0.0
153587,0.0
153597,0.0
153607,0.0
153617,0.0
153627,0.0
153639,0.0
153649,0.0
153659,0.0
153669,0.0
153679,0.0
153691,0.0
153701,0.0
153711,0.0
153721,0.0
153731,0.0
153741,0.0
153752,0.0
153762,0.0
153772,0.0
153783,0.0
153793,0.0
153803,0.0
153813,0.0
153823,0.0
153833,0.0
153843,0.0
153853,0.0
153863,0.0
153873,0.0
153883,0.0
153893,0.0
153904,0.0
153914,0.0
153928,0.0
153938,0.0
153948,0.0
153958,0.0
153968,0.0
153981,0.0
153991,0.0
154001,0.0
154012,0.0
154022,0.0
154032,0.0
154053,0.0
154063,0.0
154073,0.0
154083,0.0
154093,0.0
154104,0.0
154114,0.0
154124,0.0
154135,0.0
154145,0.0
154158,0.0
154168,0.0
154178,0.0
154188,0.0
154198,0.0
154210,0.0
154220,0.0
154230,0.0
154240,0.0
154250,0.0
154268,0.0
154278,0.0
154288,0.0
154299,0.0
154310,0.0
154322,0.0
154332,0.0
154342,0.0
154352,0.0
154362,0.0
154376,0.0
154386,0.0
154396,0.0
154406,0.0
154416,0.0
154426,0.0
154436,0.0
154446,0.0
154456,0.0
154466,0.0
154476,0.0
154486,0.0
154496,0.0
154506,0.0
154516,0.0
154526,0.0
154536,0.0
154550,0.0
154560,0.0
154570,0.0
154580,0.0
154590,0.0
154603,0.0
154613,0.0
154623,0.0
154634,0.0
154644,0.0
154654,0.0
154668,0.0
154683,0.0
154695,0.0
154705,0.0
154719,0.0
154729,0.0
154739,0.0
154751,0.0
154761,0.0
154771,0.0
154781,0.0
154791,0.0
154802,0.0
154812,0.0
154823,0.0
154833,0.0
154843,0.0
154853,0.0
154863,0.0
154877,0.0
154887,0.0
154897,0.0
154907,0.0
154917,0.0
154927,0.0
154938,0.0
154948,0.0
154958,0.0
154968,0.0
154978,0.0
154991,0.0
155001,0.0
155011,0.0
155021,0.0
155031,0.0
155043,0.0
155053,0.0
155063,0.0
155073,0.0
155083,0.0
155095,0.0
155105,0.0
155115,0.0
155132,0.0
155142,0.0
155154,0.0
155164,0.0
155177,0.0
155187,0.0
155197,0.0
155208,0.0
155218,0.0
155228,0.0
155239,0.0
155249,0.0
155259,0.0
155270,0.0
155280,0.0
155290,0.0
155300,0.0
155310,0.0
155320,0.0
155330,0.0
155340,0.0
155350,0.0
155360,0.0
155370,0.0
155380,0.0
155390,0.0
155400,0.0
155410,0.0
155420,0.0
155430,0.0
155440,0.0
155451,0.0
155461,0.0
155475,0.0
155485,0.0
155495,0.0
155505,0.0
155515,0.0
155529,0.0
155539,0.0
155549,0.0
155561,0.0
155571,0.0
155585,0.0
155595,0.0
155605,0.0
155615,0.0
155625,0.0
155638,0.0
155648,0.0
155658,0.0
155670,0.0
155680,0.0
155695,0.0
155705,0.0
155715,0.0
155725,0.0
155735,0.0
155748,0.0
155758,0.0
155768,0.0
155781,0.0
155795,0.0
155807,0.0
155817,0.0
155828,0.0
155838,0.0
155848,0.0
155858,0.0
155868,0.0
155881,0.0
155891,0.0
155901,0.0
155911,0.0
155921,0.0
155933,0.0
155943,0.0
155953,0.0
155963,0.0
