Timestamp (ms),F_GPS_LATITUDE
729999,43.25978
730019,43.25978
730126,43.25978
730219,43.25978
730319,43.259773
730419,43.259773
730521,43.259773
730621,43.259773
730721,43.259773
730821,43.259773
730921,43.259773
731022,43.259773
731122,43.259773
731222,43.259773
731321,43.259773
731423,43.259766
731530,43.259766
731634,43.259766
731734,43.259766
731834,43.259766
731936,43.259766
732036,43.259766
732143,43.259766
732242,43.259766
732342,43.259758
732442,43.259758
732542,43.259758
732642,43.259758
732742,43.259758
732842,43.259758
732942,43.259758
733042,43.259758
733144,43.259758
733244,43.259758
733344,43.25975
733444,43.25975
733544,43.25975
733649,43.25975
733749,43.25975
733850,43.25975
733950,43.25975
734049,43.25975
734152,43.25975
734253,43.25975
734353,43.25975
734453,43.25975
734556,43.25975
734655,43.25975
734755,43.25975
734855,43.259743
734955,43.259743
735057,43.259743
735162,43.259743
735265,43.259743
735366,43.259743
735465,43.259743
735569,43.259743
735670,43.259743
735770,43.259743
735869,43.259743
735970,43.259743
736074,43.259743
736173,43.259743
736273,43.259743
736373,43.25973
736473,43.25973
736577,43.25973
736676,43.25973
736776,43.25973
736876,43.25973
736976,43.25973
737077,43.25973
737178,43.25973
737279,43.25973
737379,43.25973
737478,43.25973
737584,43.25973
737683,43.25973
737783,43.25973
737884,43.259724
737983,43.259724
738085,43.259724
738190,43.259724
738290,43.259724
738392,43.259724
738492,43.259724
738593,43.259724
738693,43.259724
738793,43.259724
738894,43.259724
738995,43.259724
739098,43.259724
739198,43.259724
739298,43.259724
739398,43.259724
739498,43.259724
739598,43.259724
739701,43.259716
739800,43.259716
739900,43.259716
740012,43.259716
740112,43.259716
740212,43.259716
740312,43.259716
740412,43.259716
740512,43.259716
740613,43.259716
740713,43.259716
740814,43.259716
740916,43.259716
741018,43.259716
741117,43.259716
741217,43.25971
741333,43.25971
741436,43.25971
741551,43.25971
741654,43.25971
741753,43.25971
741854,43.25971
741957,43.25971
742058,43.25971
742162,43.25971
742262,43.25971
742362,43.25971
742462,43.25971
742563,43.25971
742669,43.25971
742768,43.25971
742869,43.2597
742969,43.2597
743073,43.2597
743173,43.2597
743273,43.2597
743373,43.2597
743473,43.2597
743575,43.2597
743675,43.2597
743775,43.2597
743875,43.2597
743975,43.2597
744078,43.2597
744178,43.2597
744278,43.2597
744378,43.2597
744478,43.2597
744584,43.2597
744688,43.259693
744788,43.259693
744888,43.259693
744988,43.259693
745089,43.259693
745193,43.259693
745293,43.259693
745393,43.259693
745493,43.259693
745598,43.259693
745698,43.259693
745798,43.259693
745898,43.259693
745998,43.259693
746104,43.259693
746204,43.259693
746305,43.259693
746405,43.259693
746505,43.259693
746607,43.259693
746707,43.259693
746808,43.259686
746908,43.259686
747008,43.259686
747109,43.259686
747209,43.259686
747309,43.259686
747410,43.259686
747513,43.259686
747612,43.259686
747714,43.259686
747813,43.259686
747914,43.259678
748019,43.259678
748118,43.259678
748218,43.259678
748318,43.259678
748418,43.259678
748518,43.259678
748631,43.259678
748736,43.259678
748836,43.259678
748937,43.259678
749036,43.259678
749139,43.259678
749239,43.259678
749339,43.259666
749440,43.259666
749540,43.259666
749641,43.259666
749741,43.259666
749841,43.259666
749942,43.259666
750042,43.259666
750144,43.259666
750244,43.259666
750345,43.259666
750445,43.259666
750545,43.259666
750646,43.25966
750748,43.25966
750848,43.25966
750948,43.25966
751048,43.25966
751151,43.25966
751251,43.25966
751351,43.25966
751457,43.25966
751558,43.25966
751660,43.25966
751761,43.25966
751861,43.25966
751961,43.25966
752062,43.25965
752163,43.25965
752262,43.25965
752364,43.25965
752465,43.25965
752572,43.25965
752675,43.25965
752775,43.25965
752876,43.25965
752976,43.25965
753076,43.25965
753182,43.25965
753282,43.25965
753382,43.259644
753482,43.259644
753586,43.259644
753685,43.259644
753785,43.259644
753885,43.259644
753985,43.259644
754088,43.259644
754191,43.259644
754290,43.259636
754390,43.259636
754491,43.259636
754593,43.259636
754693,43.259636
754794,43.259636
754894,43.259636
754994,43.259636
755098,43.259636
755198,43.259636
755298,43.25963
755398,43.25963
755498,43.25963
755599,43.25963
755699,43.25963
755800,43.25963
755900,43.25963
756005,43.25963
756113,43.25963
756213,43.25962
756312,43.25962
756412,43.25962
756518,43.25962
756621,43.25962
756721,43.25962
756821,43.25962
756922,43.25962
757022,43.25962
757124,43.25961
757224,43.25961
757325,43.25961
757425,43.25961
757525,43.25961
757626,43.25961
757727,43.25961
757827,43.25961
757927,43.25961
758027,43.25961
758129,43.25961
758230,43.25961
758330,43.25961
758430,43.2596
758530,43.2596
758631,43.2596
758733,43.2596
758833,43.2596
758933,43.2596
759033,43.2596
759136,43.2596
759236,43.2596
759336,43.2596
759442,43.2596
759543,43.2596
759645,43.2596
759745,43.2596
759848,43.2596
759948,43.2596
760049,43.2596
760191,43.2596
760297,43.2596
760397,43.2596
760506,43.2596
760610,43.2596
760711,43.2596
760811,43.2596
760911,43.2596
761011,43.2596
761117,43.2596
761222,43.2596
761322,43.2596
761422,43.2596
761522,43.2596
761626,43.259594
761725,43.259594
761825,43.259594
761925,43.259594
762025,43.259594
762127,43.259594
762227,43.259594
762328,43.259594
762428,43.259594
762527,43.259594
762632,43.259594
762737,43.259594
762837,43.259594
762940,43.259594
763039,43.259594
763141,43.259594
763241,43.259594
763346,43.2596
763445,43.2596
763545,43.2596
763651,43.2596
763751,43.2596
763851,43.2596
763952,43.2596
764056,43.2596
764160,43.2596
764260,43.2596
764365,43.2596
764466,43.2596
764566,43.2596
764668,43.2596
764768,43.25961
764868,43.25961
764969,43.25961
765069,43.25961
765171,43.25961
765273,43.25961
765373,43.25961
765472,43.25961
765572,43.25961
765675,43.25961
765775,43.25961
765875,43.25962
765978,43.25962
766081,43.25962
766186,43.25962
766286,43.25962
766386,43.25962
766486,43.25962
766586,43.25962
766690,43.25962
766789,43.25962
766889,43.25962
766989,43.25962
767090,43.25962
767192,43.25962
767295,43.25962
767397,43.25962
767497,43.25962
767599,43.25962
767699,43.25962
767799,43.25962
767900,43.25962
768000,43.25962
768107,43.25962
768211,43.25962
768311,43.25962
768411,43.25962
768511,43.25962
768611,43.25962
768715,43.25962
768815,43.25962
768915,43.25962
769015,43.25962
769123,43.25962
769223,43.25962
769326,43.25962
769430,43.25962
769536,43.25962
769636,43.25962
769736,43.25962
769840,43.25962
769971,43.25962
770071,43.25962
770172,43.25962
770272,43.25962
770372,43.25962
770472,43.25962
770572,43.25962
770677,43.25962
770777,43.25962
770877,43.25962
770977,43.25962
771077,43.25962
771183,43.25963
771284,43.25963
771384,43.25963
771484,43.25963
771584,43.259636
771686,43.259636
771787,43.259636
771887,43.259636
771987,43.259644
772091,43.259644
772193,43.259644
772293,43.259644
772393,43.259644
772493,43.259644
772593,43.25965
772697,43.25965
772796,43.25965
772896,43.25965
772996,43.25965
773096,43.25965
773200,43.25965
773300,43.25965
773400,43.25966
773500,43.25966
773600,43.25966
773705,43.25966
773805,43.25966
773905,43.259666
774005,43.259666
774104,43.259666
774208,43.259666
774308,43.259666
774408,43.259666
774509,43.259678
774609,43.259678
774710,43.259678
774810,43.259678
774910,43.259678
775011,43.259678
775110,43.259686
775211,43.259686
775311,43.259686
775415,43.259686
775516,43.259686
775616,43.259693
775718,43.259693
775818,43.259693
775918,43.259693
776018,43.259693
776118,43.2597
776220,43.2597
776322,43.2597
776422,43.2597
776521,43.2597
776622,43.2597
776724,43.2597
776824,43.25971
776924,43.25971
777027,43.25971
777128,43.25971
777229,43.25971
777329,43.25971
777429,43.25971
777533,43.25971
777635,43.259716
777742,43.259716
777841,43.259716
777941,43.259716
778041,43.259716
778146,43.259716
778245,43.259716
778347,43.259724
778447,43.259724
778548,43.259724
778649,43.259724
778756,43.259724
778855,43.259724
778955,43.25973
779055,43.25973
779160,43.25973
779259,43.25973
779360,43.25973
779460,43.25973
779560,43.259743
779663,43.259743
779763,43.259743
779864,43.259743
779963,43.259743
780064,43.259743
780173,43.25975
780277,43.25975
780377,43.25975
780477,43.25975
780577,43.25975
780683,43.25975
780783,43.25975
780883,43.259758
780983,43.259758
781083,43.259758
781187,43.259758
781287,43.259758
781387,43.259766
781501,43.259766
781625,43.259766
781703,43.259766
781803,43.259766
781903,43.259766
782003,43.259766
782104,43.259773
782203,43.259773
782307,43.259773
782407,43.259773
782507,43.259773
782607,43.259773
782711,43.259773
782810,43.25978
782910,43.25978
783010,43.25978
783110,43.25978
783211,43.25978
783311,43.25978
783411,43.25978
783512,43.25979
783618,43.25979
783720,43.25979
783820,43.25979
783921,43.25979
784021,43.25979
784121,43.25979
784222,43.25979
784322,43.25979
784422,43.2598
784523,43.2598
784624,43.2598
784725,43.2598
784825,43.2598
784925,43.2598
785026,43.2598
785126,43.2598
785228,43.2598
785328,43.2598
785429,43.259808
785529,43.259808
785629,43.259808
785731,43.259808
785831,43.259808
785932,43.259808
786032,43.259808
786132,43.259808
786235,43.259808
786335,43.259815
786435,43.259815
786535,43.259815
786635,43.259815
786740,43.259815
786839,43.259815
786939,43.259815
787039,43.259815
787152,43.259815
787256,43.259815
787356,43.259815
787457,43.259815
787557,43.259815
787658,43.259815
787760,43.259823
787860,43.259823
787961,43.259823
788061,43.259823
788173,43.259823
788275,43.259823
788375,43.259823
788475,43.259823
788575,43.25983
788674,43.25983
788674,43.25983
788775,43.25983
788875,43.25983
788975,43.25983
789076,43.25983
789176,43.25983
789278,43.25983
789378,43.25983
789478,43.25983
789578,43.25983
789678,43.25983
789778,43.25984
789878,43.25984
789978,43.25984
790078,43.25984
790180,43.25984
790280,43.25984
790380,43.25984
790480,43.25984
790580,43.25984
790681,43.25984
790782,43.25984
790887,43.25984
790989,43.259846
791092,43.259846
791193,43.259846
791297,43.259846
791398,43.259846
791503,43.259846
791606,43.259846
791707,43.259846
791807,43.259846
791908,43.259846
792008,43.259846
792109,43.259846
792210,43.259846
792316,43.259846
792415,43.259853
792515,43.259853
792615,43.259853
792716,43.259853
792822,43.259853
792922,43.259853
793023,43.259853
793123,43.259853
793225,43.259853
793325,43.259853
793425,43.259853
793525,43.259853
793625,43.259853
793728,43.259853
793829,43.259853
793930,43.259853
794029,43.259853
794130,43.259853
794237,43.259853
794341,43.259853
794441,43.259853
794542,43.259853
794642,43.259853
794745,43.259853
794845,43.259853
794945,43.259853
795045,43.259853
795146,43.259853
795249,43.259853
795349,43.259853
795448,43.259853
795548,43.259865
795654,43.259865
795754,43.259865
795854,43.259865
795954,43.259865
796059,43.259865
796197,43.259865
796300,43.259865
796399,43.259865
796499,43.259865
796600,43.259865
796699,43.259865
796801,43.259865
796902,43.259865
797002,43.259865
797102,43.259865
797202,43.259865
797304,43.259865
797405,43.259872
797505,43.259872
797605,43.259872
797705,43.259872
797806,43.259872
797907,43.259872
798006,43.259872
798107,43.259872
798207,43.259872
798310,43.259872
798410,43.259872
798510,43.259872
798611,43.25988
798711,43.25988
798813,43.25988
798913,43.25988
799014,43.25988
799114,43.25988
799214,43.25988
799316,43.25988
799416,43.25988
799516,43.259888
799621,43.259888
799723,43.259888
799826,43.259888
799927,43.259888
800027,43.259888
800127,43.259888
800227,43.259888
800330,43.259895
800430,43.259895
800531,43.259895
800631,43.259895
800732,43.259895
800832,43.259895
800933,43.259903
801034,43.259903
801134,43.259903
801239,43.259903
801341,43.259903
801442,43.259903
801541,43.259903
801641,43.259903
801743,43.25991
801843,43.25991
801942,43.25991
802046,43.25991
802147,43.259922
802248,43.259922
802354,43.259922
802456,43.259922
802555,43.25993
802655,43.25993
802759,43.25993
802858,43.25993
802958,43.259937
803058,43.259937
803161,43.259937
803263,43.259945
803362,43.259945
803463,43.259945
803563,43.259945
803663,43.259945
803765,43.259945
803865,43.259945
803966,43.259945
804066,43.259945
804168,43.259945
804270,43.259945
804369,43.259945
804470,43.259945
804571,43.259945
804677,43.259945
804779,43.259945
804879,43.259945
804980,43.259945
805080,43.259945
805180,43.259945
805282,43.259945
805382,43.259945
805482,43.259937
805582,43.259937
805683,43.259937
805785,43.259937
805885,43.259937
805986,43.259937
806086,43.259937
806187,43.259937
806302,43.259937
806406,43.259937
806515,43.259937
806616,43.259937
806716,43.259937
806819,43.259937
806918,43.259937
807019,43.259937
807119,43.259937
807219,43.259937
807321,43.259937
807422,43.259937
807523,43.259937
807624,43.259937
807725,43.259937
807824,43.25993
807926,43.25993
808026,43.25993
808127,43.25993
808228,43.25993
808331,43.25993
808431,43.25993
808531,43.25993
808634,43.25993
808735,43.25993
808837,43.25993
808937,43.25993
809037,43.25993
809137,43.25993
809237,43.25993
809339,43.25993
809442,43.25993
809542,43.25993
809642,43.25993
809743,43.25993
809844,43.25993
809943,43.25993
810044,43.25993
810144,43.25993
810251,43.25993
810355,43.25993
810455,43.25993
810555,43.25993
810656,43.25993
810758,43.25993
810858,43.25993
810958,43.25993
811058,43.25993
811159,43.25993
811261,43.25993
811361,43.25993
811462,43.259922
811561,43.259922
811661,43.259922
811763,43.259922
811862,43.259922
811963,43.259922
812063,43.259922
812166,43.259922
812266,43.25993
812367,43.25993
812468,43.25993
812568,43.25993
812668,43.25993
812774,43.25993
812878,43.25993
812979,43.25993
813079,43.25993
813179,43.25993
813281,43.25993
813381,43.25993
813481,43.25993
813581,43.25993
813681,43.25993
813784,43.259937
813884,43.259937
813984,43.259937
814084,43.259937
814184,43.259937
814286,43.259937
814385,43.259937
814485,43.259937
814586,43.259937
814686,43.259937
814788,43.259937
814888,43.259937
814989,43.259937
815089,43.259937
815189,43.259945
815290,43.259945
815391,43.259945
815492,43.259945
815592,43.259945
815691,43.259945
815795,43.259945
815896,43.259945
815996,43.259945
816096,43.259945
816202,43.259945
816305,43.259945
816405,43.259945
816505,43.259945
816605,43.259945
816705,43.259953
816807,43.259953
816907,43.259953
817007,43.259953
817108,43.259953
817208,43.259953
817311,43.259953
817411,43.259953
817511,43.259953
817611,43.259953
817712,43.259953
817813,43.259953
817915,43.259953
818015,43.259953
818114,43.259953
818215,43.259953
818314,43.259953
818424,43.259953
818525,43.25996
818625,43.25996
818725,43.25996
818828,43.25996
818928,43.25996
819028,43.25996
819128,43.25996
819229,43.25996
819333,43.25996
819432,43.25996
819533,43.25996
819632,43.25996
819734,43.25996
819840,43.25996
819940,43.25996
820041,43.25996
820140,43.25996
820262,43.25996
820362,43.25996
820465,43.259968
820465,43.259968
820566,43.259968
820666,43.259968
820766,43.259968
820866,43.259968
820966,43.259968
821066,43.259968
821166,43.259968
821268,43.259968
821368,43.259968
821468,43.259968
821570,43.259968
821670,43.259968
821774,43.259968
821879,43.259968
821979,43.259968
822082,43.259968
822184,43.259968
822294,43.259968
822397,43.259968
822497,43.259968
822599,43.259968
822698,43.259968
822805,43.259968
822919,43.259968
823018,43.259968
823118,43.259968
823218,43.259968
823319,43.259968
823418,43.259968
823518,43.259975
823618,43.259975
823718,43.259975
823818,43.259975
823922,43.259975
824022,43.259975
824122,43.259975
824223,43.259975
824322,43.259975
824426,43.259975
824526,43.259975
824626,43.259975
824726,43.259975
824831,43.259975
824931,43.259975
825031,43.259987
825131,43.259987
825231,43.259987
825333,43.259987
825432,43.259987
825532,43.259987
825632,43.259987
825732,43.259987
825832,43.259987
825932,43.259987
826034,43.259987
826134,43.259987
826240,43.259987
826342,43.259987
826442,43.259987
826542,43.259987
826643,43.259987
826743,43.259987
826844,43.259987
826945,43.259987
827045,43.259987
827146,43.259987
827245,43.259987
827349,43.259987
827448,43.259987
827548,43.259987
827648,43.259987
827749,43.259987
827852,43.259987
827952,43.259987
828051,43.259987
828152,43.259987
828256,43.259987
828360,43.259987
828459,43.259987
828559,43.259987
828659,43.259987
828759,43.259987
828861,43.259987
828962,43.259987
829062,43.259987
829162,43.259987
829262,43.259987
829365,43.259987
829465,43.259987
829565,43.259987
829669,43.259987
829770,43.259987
829871,43.259987
829971,43.259987
830071,43.259987
830172,43.259995
830274,43.259995
830377,43.259995
830477,43.259995
830577,43.259995
830677,43.259995
830794,43.259995
830894,43.259995
830994,43.259995
831094,43.259995
831195,43.259995
831300,43.259995
831405,43.259995
831513,43.259987
831614,43.259987
831714,43.259987
831820,43.259987
831926,43.259987
832026,43.259987
832126,43.259987
832226,43.259987
832330,43.259987
832430,43.259987
832530,43.259987
832630,43.259987
832730,43.259987
832830,43.259987
832934,43.259987
833035,43.259987
833134,43.259987
833235,43.259987
833338,43.259987
833438,43.259987
833637,43.259987
833638,43.259987
833738,43.259987
833840,43.259987
833940,43.259975
834041,43.259975
834141,43.259975
834241,43.259975
834343,43.259968
834443,43.259968
834544,43.259968
834649,43.25996
834749,43.25996
834852,43.25996
834952,43.25996
835052,43.259953
835152,43.259953
835252,43.259953
835354,43.259953
835454,43.259953
835554,43.259953
835654,43.259953
835754,43.259953
835854,43.259953
835954,43.259953
836054,43.259953
836157,43.259953
836295,43.259953
836399,43.259953
836499,43.259953
836598,43.259953
836698,43.259953
836798,43.259953
836902,43.259953
837002,43.259953
837102,43.259953
837203,43.259953
837303,43.259953
837406,43.259953
837506,43.259953
837607,43.259953
837707,43.259953
837807,43.259953
837908,43.259953
838010,43.259953
838110,43.259953
838210,43.259953
838310,43.259953
838413,43.259953
838512,43.259953
838612,43.259953
838712,43.259953
838813,43.259953
838914,43.259953
839014,43.259953
839114,43.259953
839215,43.259953
839317,43.259953
839418,43.259953
839523,43.259953
839624,43.259953
839724,43.259953
839824,43.259953
839926,43.259953
840025,43.259953
840126,43.259953
