v1,v2,v3,v4
352937.0,2621.6666666666665,3.9802504970569803,9.0
352947.0,2638.1,3.987733324368795,11.0
352957.0,2654.5333333333333,3.995216151680609,14.0
352967.0,2670.9666666666667,4.002698978992424,24.0
352980.0,2687.4,4.012426654497783,34.0
352990.0,2679.4666666666667,4.019909481809597,45.0
353000.0,2665.0,4.027392309121411,56.0
