Timestamp (ms),F_RPM_PRIM,F_RPM_SEC
26849,0.69833136,0.46086937721611054
26892,435.92484,0.46163600712792074
26932,468.7969,0.4623491512319302
26951,981.2644,0.4626878946813347
26970,1044.2192,0.4630266381307392
26988,1031.3531,0.46334755297754343
27006,1029.9934,0.4636684678243477
27025,1018.3576,0.46400721127375216
27044,935.81555,0.46434595472315665
27061,1218.482,0.4646490409673607
27073,1514.5396,0.46486298419856353
27085,1513.5614,0.46507692742976636
27098,1514.0504,0.46530869926356944
27111,1486.6793,0.4655404710973725
27123,1486.208,0.46575441432857534
27137,1433.048,0.46600401476497866
27149,1540.4207,0.4662179579961815
27162,1485.7369,0.46644972982998456
27174,1513.5614,0.4666636730611874
27187,1514.0504,0.46689544489499046
27200,1458.0093,0.46712721672879354
27212,1459.8257,0.46734115995999637
27226,1460.2804,0.4675907603963997
27239,1457.1029,0.46782253223020276
27251,1459.8257,0.4680364754614056
27265,1460.2804,0.4682860758978089
27278,1433.048,0.468517847731612
27291,1408.0806,0.46874961956541505
27304,1385.6045,0.46898139139921813
27318,1433.048,0.46923099183562145
27332,1383.9681,0.46948059227202477
27345,1407.6576,0.46971236410582784
27359,1408.0806,0.4699619645422311
27373,1360.6676,0.4702115649786344
27387,1315.2357,0.47046116541503774
27401,1361.4581,0.47071076585144106
27415,1360.6676,0.4709603662878444
27429,1338.1388,0.4712099667242477
27443,1361.0627,0.47145956716065096
27457,1317.824,0.4717091675970543
27472,1275.1632,0.47197659663605784
27487,1275.8574,0.4722440256750614
27501,1316.7135,0.47249362611146467
27516,1296.3219,0.47276105515046823
27531,1295.9635,0.4730284841894718
27545,1274.4698,0.4732780846258751
27560,1255.6924,0.4735455136648786
27576,1199.1558,0.47383077130648243
27591,1255.6924,0.47409820034548594
27607,1235.8291,0.47438345798708975
27622,1234.8524,0.4746508870260933
27637,1235.5034,0.4749183160650968
27653,1199.7695,0.47520357370670063
27669,1149.1787,0.4754888313483044
27685,1182.2194,0.4757740889899082
27701,1200.0768,0.47605934663151195
27717,1164.5963,0.47634460427311576
27734,1179.8389,0.47664769051731976
27750,1165.465,0.47693294815892356
27766,1114.2144,0.4772182058005273
27784,1086.5786,0.4775391206473316
27800,1148.0529,0.47782437828893537
27816,1148.6155,0.4781096359305392
27834,1132.2465,0.4784305507773434
27850,1131.4265,0.4787158084189472
27868,1116.8691,0.4790367232657515
27886,1017.9154,0.4793576381125557
27902,1101.3862,0.47964289575415947
27920,1086.8306,0.4799638106009637
27937,1086.3268,0.48026689684516777
27956,1072.9,0.48060564029457226
27973,1070.6945,0.48090872653877625
27992,992.90405,0.48124746998818074
28011,1005.25415,0.48158621343758523
28028,1043.2896,0.4818892996817893
28047,1043.7542,0.4822280431311938
28065,1030.8995,0.482548957977998
28084,1018.3576,0.4828877014274025
28102,1005.25415,0.48320861627420675
28124,904.399,0.48360084553141197
28142,1030.8995,0.4839217603782162
28161,1030.8995,0.4842605038276207
28179,1030.8995,0.48458141867442495
28197,1018.3576,0.48490233352122925
28216,1005.6855,0.48524107697063373
28236,924.9211,0.4855976490226384
28250,1361.4581,0.48584724945904173
28262,1541.4337,0.48606119269024456
28275,1513.5614,0.48629296452404763
28288,1543.9723,0.4865247363578507
28300,1542.4481,0.4867386795890536
28312,1485.7369,0.4869526228202564
28325,1459.3711,0.4871843946540595
28338,1513.0729,0.48741616648786257
28351,1486.208,0.48764793832166564
28363,1486.6793,0.48786188155286847
28376,1486.208,0.48809365338667154
28389,1459.8257,0.4883254252204746
28402,1434.3635,0.4885571970542777
28412,1821.8033,0.48873548308028003
28423,1954.7539,0.4889315977088826
28432,1907.8143,0.48909205513228476
28442,1908.5912,0.48927034115828716
28452,1864.5583,0.4894486271842895
28463,1863.817,0.4896447418128921
28473,1864.5583,0.4898230278388945
28483,1908.5912,0.4900013138648968
28493,1864.5583,0.4901795998908992
28504,1863.817,0.4903757145195018
28514,1821.8033,0.49055400054550413
28524,1863.0763,0.4907322865715065
28534,1823.2206,0.49091057259750887
28544,2052.3206,0.49108885862351126
28553,2055.0198,0.49124931604691335
28562,2106.7417,0.4914097734703155
28571,2054.1191,0.49157023089371765
28580,2055.0198,0.49173068831711975
28590,2053.2195,0.49190897434312214
28599,2053.2195,0.49206943176652423
28608,2053.2195,0.4922298891899264
28617,2002.3495,0.4923903466133285
28626,2054.1191,0.4925508040367306
28637,2002.3495,0.4927469186653332
28646,2004.0614,0.49290737608873536
28655,2000.6403,0.4930678335121375
